product_link,title,brand,price,discount,avg_rating,total_ratings
https://www.flipkart.com/bersache-premium-sports-gym-trending-stylish-running-shoes-women/p/itm6b05875c10b47?pid=SHOHYP7HSKVQHCM7&lid=LSTSHOHYP7HSKVQHCM70CGBZU&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_23&otracker=search&otracker1=search&fm=Search&iid=fa154801-6aa5-4978-9b49-9111ecc073d4.SHOHYP7HSKVQHCM7.SEARCH&ppt=sp&ppn=sp&ssid=bwz4752o9c0000001755848060165&qH=32e27b1148959538,"Bersache Premium Sports ,Gym, Trending Stylish Running Shoes Running Shoes For Women",BERSACHE ,748,0.85,3.9,713
https://www.flipkart.com/campus-noor-plus-v-walking-shoes-women/p/itm7d3bb8c27b2e8?pid=SHOGASS4FWJRQKDH&lid=LSTSHOGASS4FWJRQKDHUT0EVA&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_24&otracker=search&otracker1=search&fm=Search&iid=fa154801-6aa5-4978-9b49-9111ecc073d4.SHOGASS4FWJRQKDH.SEARCH&ppt=sp&ppn=sp&ssid=bwz4752o9c0000001755848060165&qH=32e27b1148959538,NOOR PLUS V Walking Shoes For Women,CAMPUS ,1034,0.26,4.2,6023
https://www.flipkart.com/campus-maximus-l-1-black-running-shoes-women/p/itme98bcb4ebc984?pid=SHOGZWQK7QTV7YDS&lid=LSTSHOGZWQK7QTV7YDSTRHUIW&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_25&otracker=search&otracker1=search&fm=Search&iid=fa154801-6aa5-4978-9b49-9111ecc073d4.SHOGZWQK7QTV7YDS.SEARCH&ppt=sp&ppn=sp&ssid=bwz4752o9c0000001755848060165&qH=32e27b1148959538,MAXIMUS L-1 Black Running Shoes Running Shoes For Women,CAMPUS ,1152,0.17,4.1,1030
https://www.flipkart.com/red-tape-athleisure-shoes-women-cultured-round-toe-shape-cushioning-technology-walking/p/itmb3f6c5fe12323?pid=SHOH44BEHPFT4GFM&lid=LSTSHOH44BEHPFT4GFMLEUNPU&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_26&otracker=search&otracker1=search&fm=Search&iid=fa154801-6aa5-4978-9b49-9111ecc073d4.SHOH44BEHPFT4GFM.SEARCH&ppt=sp&ppn=sp&ssid=bwz4752o9c0000001755848060165&qH=32e27b1148959538,Athleisure Shoes for Women | Cultured Round-Toe Shape & Cushioning Technology Walking Shoes For Women,RED TAPE ,1667,0.78,4.2,2484
https://www.flipkart.com/bersache-premium-sports-walking-running-shoes-women-s-girls-women/p/itm9c882ec9ad721?pid=SHOH3XTHZNC5ZEP9&lid=LSTSHOH3XTHZNC5ZEP9GWQQR9&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_27&otracker=search&otracker1=search&fm=Search&iid=en_iwWHoaPJxCo9TG43vj639slmXBR__dWsIS9-M2WwM-qlXBcvv5CPIAozyoNX_jA-4fGflmw8sZ1ueZNNEIvaJr3nN5BP0oUQf7sdSRT1im4%3D&ppt=sp&ppn=sp&ssid=bwz4752o9c0000001755848060165&qH=32e27b1148959538,"Bersache Premium Sports ,walking Running Shoes For Women's /Girls Running Shoes For Women",BERSACHE ,722,0.63,3.8,169
https://www.flipkart.com/bersache-premium-sports-gym-trending-stylish-running-shoes-women/p/itme1969966c17b7?pid=SHOHF5UYHHYCGZUW&lid=LSTSHOHF5UYHHYCGZUWF2TUZ6&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_28&otracker=search&otracker1=search&fm=Search&iid=en_iwWHoaPJxCo9TG43vj639slmXBR__dWsIS9-M2WwM-ryf8Rret7X6a1hS4IEWd6thWlqxLNnPPbwVemLGx6BowAlvNo-tguW1XjLLiPm_o8%3D&ppt=sp&ppn=sp&ssid=bwz4752o9c0000001755848060165&qH=32e27b1148959538,"Bersache Premium Sports ,Gym, Trending Stylish Running Shoes Running Shoes For Women",BERSACHE ,853,0.82,4,176
https://www.flipkart.com/campus-camp-eloy-walking-shoes-women/p/itmd181ea713e1c2?pid=SHOGMNPS5XZEGXUJ&lid=LSTSHOGMNPS5XZEGXUJKJWPFX&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_29&otracker=search&otracker1=search&fm=Search&iid=fa154801-6aa5-4978-9b49-9111ecc073d4.SHOGMNPS5XZEGXUJ.SEARCH&ppt=sp&ppn=sp&ssid=bwz4752o9c0000001755848060165&qH=32e27b1148959538,CAMP ELOY Walking Shoes For Women,CAMPUS ,949,0.05,4.3,10982
https://www.flipkart.com/trenz-lightweight-casual-sneakers-men-synthetic-leather-eva-sole-walking-shoes-women/p/itm0099d9ae47575?pid=SHOHEYQR8B27K9XV&lid=LSTSHOHEYQR8B27K9XVRGERU3&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_30&otracker=search&otracker1=search&fm=Search&iid=fa154801-6aa5-4978-9b49-9111ecc073d4.SHOHEYQR8B27K9XV.SEARCH&ppt=sp&ppn=sp&ssid=bwz4752o9c0000001755848060165&qH=32e27b1148959538,Lightweight Casual Sneakers for Men | Synthetic Leather | EVA Sole Walking Shoes For Women,Trenz ,1799,,,
https://www.flipkart.com/k-footlance-walking-shoes-women/p/itm276e3f6029773?pid=SHOGH4FGDJ7MSRAW&lid=LSTSHOGH4FGDJ7MSRAWNSOWGR&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_31&otracker=search&otracker1=search&fm=Search&iid=en_iwWHoaPJxCo9TG43vj639slmXBR__dWsIS9-M2WwM-o8bv0DPFSySpAQ6c0JlrT2GBNfUkOA0CkCtFdE0hGvRQ%3D%3D&ppt=sp&ppn=sp&ssid=bwz4752o9c0000001755848060165&qH=32e27b1148959538,Walking Shoes For Women,K' Footlance ,386,0.61,3.9,12392
https://www.flipkart.com/sparx-sl-233-outdoors-women/p/itme475f4c4581fa?pid=SHOGPWHUFRFKUHCF&lid=LSTSHOGPWHUFRFKUHCF0AOCFW&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_32&otracker=search&otracker1=search&fm=Search&iid=en_iwWHoaPJxCo9TG43vj639slmXBR__dWsIS9-M2WwM-ozJH3kPpPPox1ZtioOQ_fU_4gBl96u8pdqvnOxJ0N2A04IsYyWu-Pj9cxFjFAoaLk%3D&ppt=sp&ppn=sp&ssid=bwz4752o9c0000001755848060165&qH=32e27b1148959538,SL 233 Outdoors For Women,Sparx ,849,0.15,4.2,124
